created_at,favorite_count,followers_count,friends_count,retweet_count,screen_name,text
Mon Feb 19 01:42:26 +0000 2018,0,936,396,661,X_DOM8,RT @grabdaweave: Keaton’s mom walking into the klan meeting w the new fresh white sheets and torches  . 💰 #KeatonJones #Keaton https://t.co…
Mon Feb 19 01:09:50 +0000 2018,0,1739,987,11502,ooziondawg,RT @fastmoneyayo: #KeatonJones on god he telling the truth 😂 https://t.co/3duA8uZtcE
Mon Feb 19 01:07:59 +0000 2018,0,3989,3352,11502,AyeeiitsAmera_,RT @fastmoneyayo: #KeatonJones on god he telling the truth 😂 https://t.co/3duA8uZtcE
Sun Feb 18 18:56:20 +0000 2018,0,16,29,290,GildinDaniel,RT @A_itsRaulCx: Bruhhhhh 😭😂💀 #KeatonJones https://t.co/PZVb6jTOd5
Sun Feb 18 14:59:05 +0000 2018,0,12316,4211,256,mccubreymarcy13,RT @scooterbraun: #keatonjones is my inspiration this weekend. Stand up for Keaton
Sun Feb 18 06:37:08 +0000 2018,0,281,727,2,JerodMcCain,RT @realbrownbody: #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcast on…
Sun Feb 18 05:44:10 +0000 2018,0,124,537,0,Jonathan_Celis_,So what happened to #KeatonJones
Sun Feb 18 04:43:53 +0000 2018,0,55,250,11,RobertLSmith77,RT @Jennyk242: #KeatonJones  melts my heart https://t.co/84UU5qyTTc
Sun Feb 18 04:34:19 +0000 2018,0,64,79,2,KadedollaDolla,RT @realbrownbody: #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcast on…
Sat Feb 17 12:05:09 +0000 2018,4,339,525,2,realbrownbody,#Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcas… https://t.co/Tnj9wQu2uk
Fri Feb 16 10:26:06 +0000 2018,0,108,316,64,Bigggdawggtay,RT @jukuwellington: An opportunity for #KeatonJones mother #Kimberlyjones to evaluate herself and what she teaches her kids #Stopbullying 💯…
Fri Feb 16 08:10:03 +0000 2018,0,6499,3013,1513,castiolaphebe62,"RT @RyanSeacrest: #KeatonJones, your curiosity and kindness will overcome this moment and bring you many better days to come. #StandWithKea…"
Fri Feb 16 06:11:55 +0000 2018,0,110,131,0,nawaziiish,"#KeatonJones is gonna grow up to be a school shooter, I bet you"
Fri Feb 16 02:40:05 +0000 2018,0,281,727,2,JerodMcCain,RT @realbrownbody: #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcast on…
Fri Feb 16 02:35:25 +0000 2018,0,339,525,2,realbrownbody,RT @realbrownbody: #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcast on…
Fri Feb 16 02:26:55 +0000 2018,4,339,525,2,realbrownbody,#Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcas… https://t.co/3Z7wmvlpuN
Fri Feb 16 00:45:15 +0000 2018,0,1944,354,138,SplashyStacks,RT @SplashyStacks: AYE DID ANY OF YALL NOTICE RIHANNA DELETE HER POST ABOUT #keatonJones AND POST THIS ONE INSTEAD😭😭😭😭😭😭 BLACK TWITTER RUNS…
Thu Feb 15 12:31:26 +0000 2018,0,339,525,3,realbrownbody,RT @KadedollaDolla: Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty…
Thu Feb 15 12:31:19 +0000 2018,0,339,525,3,realbrownbody,RT @Kadesile: Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcas…
Thu Feb 15 05:09:21 +0000 2018,0,41,329,2299,MarcusCatherin5,RT @SamoaJoe: The #KeatonJones video is both brave &amp; grievous. I’m sure I speak for my colleagues in that we would love to have him at a ev…
Wed Feb 14 19:58:32 +0000 2018,0,192,356,2,Fleurgemie,"RT @LacedCaramel: Good morning #blacktwitter

what y'all think about this? 

Press Play 🎧

#KimberlyJones #KeatonJones #MOOD #tbt #memes ht…"
Wed Feb 14 15:00:38 +0000 2018,1,1783,859,0,delacasa_co,"¡No más Bullying! Conoce a #KeatonJones, el niño que sensibilizó a las celebridades de Hollywood https://t.co/BI0xVhzava #Viral"
Wed Feb 14 14:50:44 +0000 2018,0,823,576,691,routh_l,RT @w_terrence: If #keatonjones did say the N-Word he probably learned from his mother or from the black kids at his School. Racist people…
Wed Feb 14 05:33:05 +0000 2018,0,295,420,3816,Wolfgir09048259,"RT @Lyrenzo: If #KeatonJones can get $50,000 for no reason, can we get 25k rts to graduate? https://t.co/SedefpJXeX"
Wed Feb 14 01:51:27 +0000 2018,0,693,1151,3,Kadesile,RT @Kadesile: Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcas…
Wed Feb 14 01:48:32 +0000 2018,0,64,79,3,KadedollaDolla,RT @KadedollaDolla: Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty…
Wed Feb 14 00:39:03 +0000 2018,0,165,31,1,mremgomez,#KeatonJones #ULpdate #AltLeft #Libtards https://t.co/QYcYpMeT6n via @WKRN
Tue Feb 13 18:30:07 +0000 2018,0,281,727,3,JerodMcCain,RT @Kadesile: Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcas…
Tue Feb 13 18:29:58 +0000 2018,0,281,727,3,JerodMcCain,RT @KadedollaDolla: Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty…
Tue Feb 13 16:24:06 +0000 2018,4,64,79,3,KadedollaDolla,Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by… https://t.co/knjm9K5kBb
Tue Feb 13 16:23:20 +0000 2018,4,693,1151,3,Kadesile,Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by… https://t.co/FdHJVqojLg
Tue Feb 13 16:19:07 +0000 2018,0,695,1521,0,TheReal6Million,Listen to #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by... https://t.co/H90ka1w21x
Tue Feb 13 16:05:26 +0000 2018,0,75,63,12137,abbeyslays,"RT @iamantwilson: After seeinn #KeatonJones finesse that check today, I have no time to waste on my nephew! 😂 #alljokes #StopBullying #Spre…"
Tue Feb 13 00:42:58 +0000 2018,0,468,537,12,remaerdyaD,"RT @mdskar: There r criminals, frauds &amp; liars even in the most developed societies. E.g. #KeatonJones case in Tennesse, the US. BUT do u ge…"
Mon Feb 19 12:09:25 +0000 2018,0,66,64,691,skylarmichaud11,RT @maddieziegler: have so much ❤️ and respect for Keaton. #StandWithKeaton https://t.co/uMjsLe7tET
Sun Feb 18 04:42:46 +0000 2018,0,55,250,4614,RobertLSmith77,RT @attn: The entire internet is backing Keaton Jones after his heartbreaking message to the bullies at his school #StandWithKeaton https:/…
Sat Feb 17 02:48:20 +0000 2018,0,32,51,4614,leads111,RT @attn: The entire internet is backing Keaton Jones after his heartbreaking message to the bullies at his school #StandWithKeaton https:/…
